threshold,accuracy_bit,accuracy_blur,accuracy_both,F1_bit,F1_blur,F1_both
0.0,0.3011117711957905,0.300899601120258,0.3008571671051515,0.46179988236063,0.4616892664597288,0.4617445279320484
0.01,0.5183739285411185,0.48731222948315367,0.3946787745056437,0.5440668434160842,0.537123592061911,0.4967366378550009
0.02,0.6397776457608418,0.5806246287023679,0.49431384197572775,0.6070089347715383,0.5852532628310042,0.541177376506372
0.03,0.7093269965204108,0.6307816345582619,0.5603411694814563,0.6494729300992734,0.6141634517316304,0.5750030764182289
0.04,0.7484087244335059,0.6608249172536705,0.602138674361368,0.6751766832849395,0.6322521279043019,0.5985613974995718
0.05,0.7741237375880505,0.6828906051090554,0.6318849189510312,0.6920807543240586,0.646415897799858,0.6163711139609959
0.06,0.7922430620385301,0.7011372316048544,0.6565815157430196,0.7035960770069015,0.658852022281424,0.6322867917670044
0.07,0.8044640583892048,0.7156496647712807,0.676355766782653,0.7105163965322276,0.6689065665299668,0.6454701808208991
0.08,0.8140117117881694,0.7279130951370618,0.6927352966137656,0.7164758393169028,0.6776917663617171,0.6569384564362534
0.09,0.8196130017822286,0.7392854111856064,0.7068658236442332,0.7174100910722595,0.6862424675722602,0.6669559348182431
0.1,0.823559365187134,0.7477297801918017,0.7184503097683103,0.7160999590331831,0.6924310621346164,0.6753437392963743
0.11,0.8273359925316134,0.755495204956293,0.7296104557413222,0.7159907866266491,0.6983561930687886,0.6838972120250025
0.12,0.8295001273020454,0.7620300432826954,0.7384791648985827,0.7138584247258225,0.7032490210604297,0.6905969175159394
0.13,0.8309853178307731,0.766994823050157,0.746329457693287,0.7109369330140068,0.7066303360581291,0.6966406170709428
0.14,0.8315369600271578,0.7721293388780447,0.7532037681405415,0.707442888725129,0.7107304460245636,0.7020186494517882
0.15,0.8319613001782229,0.7769668166001867,0.7601205126029025,0.7036371800628648,0.7145029875067898,0.7076286527023532
0.16,0.8334889247220572,0.7804464058389204,0.7659764066876008,0.7023665048543689,0.7172368564870478,0.7124459043745762
0.17,0.8329797165407791,0.7842654671985063,0.771747432742086,0.6976958525345621,0.7199206698986337,0.7172072971978339
0.18,0.8332767546465246,0.7875328863617076,0.7768819485699737,0.6939792818755355,0.7224962589369839,0.7214747324928487
0.19,0.832894848510566,0.7909276075702283,0.7816769922770093,0.689725811534825,0.7250711455833937,0.7254682247478791
0.2,0.832470508359501,0.7943647627938556,0.7864720359840448,0.6857188345804809,0.7276916160935042,0.7294332723948812
0.21,0.8314520919969447,0.7968683696851396,0.7901213612832046,0.6801417297471414,0.7294410218730571,0.7323303387812533
0.22,0.8306034116948146,0.7999236187728083,0.7940252906730034,0.6750773237831679,0.731843257692089,0.7356497113604182
0.23,0.8299669014682169,0.8024696596791988,0.7972927098362047,0.6710990724780431,0.7336804164997998,0.7383469354220298
0.24,0.8295001273020454,0.8049732665704828,0.8005601289994059,0.6672739317654851,0.7354667894555084,0.7408183522664608
0.25,0.8287363150301281,0.807816345582619,0.8045064924043113,0.6627673796791443,0.7378292329956585,0.7443538094445369
0.26,0.8267419163201222,0.8096834422473055,0.8065008911143172,0.6556464535717298,0.7391683628961908,0.7457060004461298
0.27,0.825808367987779,0.8116778409573114,0.8094288381566663,0.6509056892592907,0.7404678362573099,0.748022218481737
0.28,0.8244929135194772,0.8139692777730629,0.8125265212594416,0.6449175824175825,0.7423298460091688,0.7508459282652831
0.29,0.823219893066282,0.8155393363320037,0.814563353984554,0.6401796510623596,0.7434641487164355,0.7525761521911449
0.3,0.8226682508698973,0.8171942629211576,0.8171093948909446,0.6365770936603182,0.744574884382782,0.7548350398179748
