threshold,accuracy_bit,accuracy_blur,accuracy_both,F1_bit,F1_blur,F1_both
0.0,0.02113213952304167,0.27985232962742934,0.2797250275821098,0.03899350108315281,0.4363479358331396,0.4363044633368756
0.01,0.2335568191462276,0.22791309513706187,0.1340490537214631,0.006599934000659993,0.08974936214918205,0.08088996982389766
0.02,0.36361707544767885,0.3180853772383943,0.22944071968089622,0.006360564500099384,0.08910554358916221,0.0796715827885054
0.03,0.44190783331918865,0.36726640074683864,0.2932614784010863,0.006646525679758309,0.08750994431185362,0.0790710533591374
0.04,0.488585249936349,0.3976491555630994,0.3339556988882288,0.006430338004946414,0.08613918753621322,0.0786569617281052
0.05,0.5217686497496393,0.4200118815242298,0.3632776033268268,0.006172839506172839,0.085140562248996,0.07848676533808266
0.06,0.5471017567682254,0.4385131121106679,0.38742255792243063,0.0063308816683735215,0.08467072495849473,0.07851397931826885
0.07,0.565730289399983,0.4534498854281592,0.4068573368412119,0.005635445005829771,0.08392603129445234,0.07808996174647144
0.08,0.5802002885513027,0.466180089960112,0.4229822625816855,0.005628706402653532,0.08349118461314294,0.07810169491525425
0.09,0.5917847746753798,0.47797674615972163,0.43728252567257914,0.00558197229687823,0.08358164481525626,0.07839321704079505
0.1,0.601968938300942,0.48718492743783415,0.4491640499024018,0.00466893039049236,0.08370611873530973,0.07877368533106238
0.11,0.6105406093524569,0.49520495629296446,0.45994228973945517,0.004339336081579518,0.08266502159161011,0.07795406795624138
0.12,0.6175422218450309,0.502333870830858,0.46893830094203515,0.0037581518735492424,0.08217248395680075,0.07754109235645316
0.13,0.6238224560807943,0.5084868030213019,0.47721293388780445,0.003596717994829718,0.08253465346534654,0.07812032325651003
0.14,0.6284901977425104,0.513748620894509,0.484087244335059,0.003414911781445646,0.08144288577154309,0.07726168791742563
0.15,0.6331155053891199,0.5191377408130358,0.49113129084273954,0.003457814661134163,0.08123885195394842,0.07725453985841797
0.16,0.6376559450055164,0.522914368157515,0.4970296189425443,0.00350099194771852,0.08062801537329299,0.07694104820496846
0.17,0.6408384961385046,0.5277094118645507,0.5030128150725621,0.0032972209138012244,0.08062117958037339,0.07692307692307693
0.18,0.6448272935585165,0.5314436051939234,0.5084019349910889,0.003334127173136461,0.08044636908727515,0.07696597880646959
0.19,0.6476703725706526,0.5355172706441483,0.51349401680387,0.0028821904647532127,0.08032263485128549,0.07696642782384672
0.2,0.6501315454468302,0.5396758041245863,0.5187134006619706,0.0024198427102238356,0.08021027641173478,0.07698567708333333
0.21,0.6526351523381142,0.5428159212424679,0.5227870661121955,0.0021940516821062897,0.07961729027848967,0.07653145015601907
0.22,0.6550114571840787,0.5465076805567343,0.5270304676228464,0.0022091310751104565,0.07957970889673585,0.07655343827671915
0.23,0.6568361198336586,0.5497750997199355,0.5306797929220063,0.00197457731704307,0.07931273863241928,0.07633205278102555
0.24,0.6588305185436646,0.5529152168378172,0.5346261563269117,0.0017382666997765087,0.07853769459506735,0.07584056627622819
0.25,0.6607400492234575,0.5562675040312315,0.5388271238224561,0.0017480334623548508,0.07843482858905436,0.0758503401360544
0.26,0.6620555036917594,0.558728676907409,0.5415429007892727,0.0015045135406218657,0.07818455810655085,0.07563312799452429
0.27,0.6636255622507001,0.5616141899346516,0.5451922260884325,0.0012599218848431397,0.07816543231908628,0.07571576405657124
0.28,0.6653229228549605,0.5644148349316812,0.5485020792667402,0.0012663036596175764,0.07796640617982574,0.07558644656820156
0.29,0.6661716031570907,0.5664941016719002,0.5508359500975982,0.0012695188523549575,0.07764535933550018,0.07530357298855596
0.3,0.6675719256556055,0.5687006704574387,0.5535517270644148,0.0012748597654258032,0.0768392370572207,0.07458879408918989
0.31,0.6686752100483748,0.5704404650768056,0.5557158618348468,0.0012790995139421847,0.07678978568171455,0.07459784337988332
0.32,0.669778494441144,0.572307561741492,0.5577951285750657,0.0012833675564681726,0.07591455028880535,0.07377122033597014
0.33,0.6709666468641263,0.5738351862853264,0.5597895272850717,0.001287995878413189,0.07531534849461377,0.07325352867607647
0.34,0.6721547992871085,0.5755325468895867,0.5619960960706102,0.0012926577042399173,0.07542286717811258,0.07342908438061042
0.35000000000000003,0.6733429517100908,0.5774845115844861,0.5642875328863617,0.0012973533990659058,0.07557329867236097,0.0736196319018405
0.36,0.674361368072647,0.5795213443095986,0.5665365356870067,0.0013014055179593961,0.07522165188987401,0.07330127914360882
0.37,0.6751251803445643,0.581133836883646,0.5684885003819061,0.0013044612575006523,0.07514288391267684,0.07327075549075003
0.38,0.6761011626920139,0.5830858015785454,0.5707375031825511,0.0013083867591259979,0.07529411764705883,0.07345667704707821
0.39,0.676780106933718,0.5845285580921666,0.5722651277263855,0.0013111315064901013,0.07448719160601192,0.07267709291628335
0.4,0.6773741831452093,0.585886446575575,0.5738351862853264,0.0013135426244581638,0.0740108169655565,0.07224018475750578
0.41000000000000003,0.6778833913264873,0.5870321649834508,0.5751930747687346,0.0013156163662675965,0.0734958111195735,0.07176634214186371
0.42,0.6786472035984045,0.5885173555121785,0.5770177374183145,0.0013187392852433075,0.07321036031730861,0.0715350223546945
0.43,0.6790715437494695,0.5898752439955869,0.5784604939319359,0.0010566635847312112,0.07290167865707435,0.07124158563949139
0.44,0.6795383179156412,0.5913604345243146,0.5801578545361962,0.001058201058201058,0.07261171032357473,0.07098591549295775
