threshold,accuracy_bit,accuracy_blur,accuracy_both,F1_bit,F1_blur,F1_both
0.0,0.3009420351353645,0.30077229907493847,0.30068743104472545,0.4615987973070134,0.46153846153846156,0.46154348820492713
0.01,0.4991937537129763,0.47810404820504115,0.3927268098107443,0.5171426233532445,0.5248599575043462,0.4942930845612919
0.02,0.6073580582194688,0.5647118730374268,0.4899855724348638,0.5559341555886165,0.5626332395327023,0.5354257663020371
0.03,0.6666808113383689,0.608885682763303,0.5534668590342018,0.576252899606193,0.5817109144542773,0.5654705372259157
0.04,0.6983365866078248,0.6336671475855046,0.5923788508868709,0.5836115504012184,0.5907561033420242,0.5846233676381561
0.05,0.7196384621912926,0.6508104896885343,0.6186455062378002,0.5871399112666374,0.5962019726188724,0.5970135868346711
0.06,0.732665704828991,0.6633709581600611,0.6393957396248833,0.5831679237792775,0.5984307770184764,0.6066469172375486
0.07,0.7409403377747602,0.6724942714079606,0.6549265891538657,0.5766590389016019,0.598480907293726,0.6129093678598629
0.08,0.7465416277688195,0.6798777900364933,0.6666383773232624,0.5693272766601774,0.5979106705042107,0.6166308803435487
0.09,0.7501909530679793,0.6863701943477892,0.676864974963931,0.5609010218542553,0.5968911917098445,0.6199151484901422
0.1,0.7546040906390563,0.6902316897224815,0.6855639480607655,0.555871284847554,0.5938577945921888,0.6231309124198963
0.11,0.7562165832131036,0.6937537129763218,0.6931596367648307,0.5458857007351197,0.5910353034510114,0.6253173739571999
0.12,0.7574896036662989,0.6960451497920733,0.6982941525927183,0.537059538274605,0.5869803378884854,0.6252371916508538
0.13,0.7584231519986421,0.6968089620639905,0.7023253840278367,0.5282956334410472,0.5812576920822833,0.6242433981466603
0.14,0.757659339726725,0.6976576423661207,0.7053806331155054,0.5172034829655929,0.576119935748706,0.622478386167147
0.15,0.7573623016209794,0.6990155308495289,0.7089026563693457,0.5072388831437435,0.572014722741809,0.6215798764342454
0.16,0.7581261138928965,0.6985911906984639,0.7119579054570143,0.5003506311360449,0.5660700103854848,0.6209091924494582
0.17,0.7571501315454469,0.7003309853178308,0.7151828906051091,0.49051900649870916,0.5633733151972302,0.6205336951605608
0.18,0.757744207756938,0.7009250615293219,0.7178137995417126,0.483768876028574,0.5595550556180477,0.6196957566052843
0.19,0.7576169057116184,0.7011796656199609,0.7192989900704405,0.47682725773951273,0.554472984942427,0.6169880145909327
0.2,0.7565984893490622,0.7013918356954935,0.7203598404481032,0.4676072025245962,0.5490547901313682,0.6132629107981221
0.21,0.755749809046932,0.7017737418314521,0.7215479928710855,0.45871732179800645,0.5451721460005178,0.6108409441347409
0.22,0.7548162607145888,0.7025799881184758,0.7229907493847068,0.4497142857142857,0.5415658316436653,0.6088207094918504
0.23,0.7537978443520326,0.7027921581940083,0.7238818637019435,0.441470927993839,0.5370786516853933,0.6062806316935923
0.24,0.7528218620045829,0.7033438003903929,0.7252397521853517,0.43275878858700934,0.5332799252286534,0.6041934103551562
0.25,0.7518883136722396,0.7038954425867776,0.7266825086989731,0.42433789504775027,0.5293403480372317,0.6020880953851856
0.26,0.7505304251888314,0.7041076126623101,0.7268522447593991,0.41566444687406817,0.5258720337254369,0.5990657116163189
0.27,0.7497666129169142,0.7047441228889078,0.7283798693032335,0.4083475469047858,0.5227709190672154,0.5977502670772324
0.28,0.7493847067809556,0.7058898412967834,0.7297377577866417,0.4021056894108119,0.5209096564595286,0.596413408529244
0.29,0.7481541203428669,0.7055503691759314,0.7293134176355767,0.394943419308798,0.5165470633317076,0.5924742860793457
0.3,0.7473054400407366,0.7055928031910379,0.7298650598319613,0.3875347115087936,0.5126440011239112,0.5899252769904664
0.31,0.746329457693287,0.7044895187982687,0.7290588135449376,0.38038971807628524,0.5069385443217219,0.5853626858886941
0.32,0.7453110413307307,0.7038105745565646,0.7286344733938726,0.37296280819055583,0.5016421533628445,0.5813968711134385
0.33,0.7449715692098786,0.703683272511245,0.7285496053636595,0.3679007151872108,0.49838373680051723,0.5783402544327995
0.34,0.7449291351947721,0.7030891962997539,0.7282950012730205,0.3639826473389059,0.4938878842676311,0.5748057639949532
0.35000000000000003,0.7444623610286005,0.7032164983450734,0.7287193414240856,0.3582693947144075,0.490752876073977,0.5726318604184772
0.36,0.7437409827717899,0.7034286684206059,0.7290163795298311,0.35196909539650173,0.4874220755408874,0.5700242391597091
0.37,0.7428074344394466,0.7030467622846474,0.7286344733938726,0.3455350394125904,0.4833899306068211,0.5663524784701973
0.38,0.7425103963337011,0.7028770262242213,0.7285496053636595,0.34100781928757606,0.47932778108268886,0.5629568900731023
0.39,0.7414919799711449,0.7027497241789018,0.7280403971823814,0.3343531468531468,0.47586980920314254,0.5592462691699334
0.4,0.7405159976236951,0.7022829500127302,0.7273614529406772,0.328095813646852,0.47176630025598554,0.5551478224745552
0.41000000000000003,0.739582449291352,0.7014767037257065,0.7261308665025885,0.32225289895085596,0.4670858268313007,0.5499930274717613
0.42,0.7393278452007129,0.7008826275142154,0.725918696427056,0.31842893598136024,0.46235985050720774,0.5465777465777467
0.43,0.7383942968683697,0.7007553254688959,0.7256216583213103,0.31263240049057867,0.45911949685534587,0.5434905393956508
0.44,0.7376304845964525,0.7001612492574047,0.7248578460493932,0.30753723821256584,0.4542786530738338,0.5388335704125178
0.45,0.7367818042943223,0.6996520410761267,0.7237969956717305,0.30217122285971426,0.45089216446858027,0.534572756524848
0.46,0.7359755580072986,0.6994398710005941,0.7234150895357718,0.2956757980529771,0.4475469932142579,0.5310116563534322
0.47000000000000003,0.735423915810914,0.6994398710005941,0.7233726555206653,0.2917187322503692,0.44503643344041366,0.5286674860819898
0.48,0.7347449715692099,0.6994398710005941,0.7232877874904523,0.28731045490822027,0.44206380464749906,0.5259867703714473
0.49,0.7341084613426122,0.6995247390308071,0.7232877874904523,0.28257384932447904,0.4393063583815029,0.5232141551509835
0.5,0.7333446490706951,0.6990155308495289,0.7222693711278961,0.2775350655323063,0.4350457984866587,0.5185021702346796
0.51,0.7327930068743105,0.6984214546380378,0.721505558855979,0.2739536492563127,0.43093922651933697,0.5146069077730937
0.52,0.7323262327081388,0.6978273784265467,0.7209539166595943,0.2694000463284688,0.42632723757351165,0.5104228707564027
0.53,0.7316897224815412,0.6978273784265467,0.7207417465840618,0.2638258237280242,0.42372744193574496,0.5073733063852085
0.54,0.7308834761945175,0.6973606042603752,0.7199355002970381,0.2580720636406177,0.4203511053315995,0.5032364895378594
0.55,0.7303742680132395,0.6974030382754817,0.7197233302215056,0.25405024653674574,0.4171638741315897,0.4999621470209706
0.56,0.7298650598319613,0.6979122464567598,0.7201052363574642,0.24982323827480557,0.41575707837505127,0.49802130898021313
0.5700000000000001,0.7294407196808962,0.6985063226682509,0.7205720105236357,0.24615748403877988,0.41363373772385903,0.4959044629870627
0.58,0.7289739455147246,0.6986336247135704,0.7204022744632097,0.24189910979228488,0.41101343506385807,0.4928027095681626
0.59,0.728507171348553,0.6983365866078248,0.7201052363574642,0.23869585911470728,0.4075339611634303,0.4896316929743114
0.6,0.7279130951370618,0.6982092845625053,0.7192989900704405,0.23484486873508353,0.40535117056856185,0.48597404615743256
0.61,0.7274463209708902,0.6979122464567598,0.7189170839344818,0.2306863097376931,0.401613852231655,0.4821763602251407
0.62,0.7268946787745056,0.6983365866078248,0.7190019519646949,0.2268140317155214,0.40003375812304837,0.4798931825322023
0.63,0.7262157345328015,0.6983790206229313,0.7187897818891623,0.22246324415521815,0.3977291984409422,0.4770772508482601
0.64,0.7257913943817365,0.6979122464567598,0.7181108376474582,0.21994205697730568,0.3940760915822623,0.4733211765638627
0.65,0.7254943562759908,0.6976152083510142,0.7175591954510736,0.2169228906911996,0.39125234922262087,0.4699792960662526
0.66,0.7248154120342867,0.6978273784265467,0.7171348553000085,0.21212489369456933,0.38891272633656565,0.4660365267542454
0.67,0.7242213358227956,0.6973606042603752,0.7164134770431978,0.20772887967816653,0.38496033114867195,0.46152606558697934
0.68,0.723839429686837,0.697021132139523,0.7156072307561742,0.2042064074345806,0.38213914849428865,0.4575914535448365
0.6900000000000001,0.7232029194602393,0.6968089620639905,0.7152677586353221,0.2003187446365085,0.37842540234884736,0.4539388020833333
0.7000000000000001,0.7226937112789612,0.6966816600186709,0.7150555885597896,0.19687845643357504,0.37582954942368146,0.4514337063965363
0.71,0.7221845030976831,0.6966816600186709,0.714843418484257,0.19322242760320396,0.37331229177625813,0.448547513540128
0.72,0.7218450309768311,0.6963846219129254,0.7143766443180853,0.19044090403853278,0.37032473818533834,0.44532344458178824
0.73,0.7213782568106595,0.6965119239582449,0.7142069082576593,0.18737623762376238,0.3678628248188086,0.44223602484472047
0.74,0.7208690486293813,0.6961300178222863,0.7137401340914877,0.18407343091044404,0.36397548627764453,0.43839493839493837
0.75,0.7204871424934227,0.6958754137316473,0.7133157939404227,0.1808232806864818,0.3603748326639893,0.43454971543354537
0.76,0.7199355002970381,0.6963421878978189,0.7133157939404227,0.17746759720837488,0.3587813620071685,0.4321734745335351
