threshold,accuracy_bit,accuracy_blur,accuracy_both,F1_bit,F1_blur,F1_both
0.0,0.28846643469405076,0.29674106763982006,0.29665619960960704,0.4466737064413939,0.4567476316910873,0.4567533020877716
0.01,0.45591105830433676,0.4637189170839345,0.3770686582364423,0.45256596362394325,0.50528458467079,0.4744002864303616
0.02,0.5557582958499533,0.547483662904184,0.46889586692692864,0.46643901941797056,0.537313432835821,0.5067391818396784
0.03,0.6116438937452262,0.59080879232793,0.5288551302724264,0.4691415313225058,0.5537507520014808,0.5302703388754917
0.04,0.6396503437155223,0.6151659169990664,0.5646270050072137,0.4587635436583811,0.5610145699210998,0.5434318262726949
0.05,0.6591699906645166,0.6322668250869897,0.588559789527285,0.449032789134312,0.5654397753485108,0.5509447943682846
0.06,0.6728761775439192,0.6459305779512857,0.6079945684460664,0.4375045603794236,0.5686517783291977,0.5572277607361963
0.07,0.6816175846558601,0.655945005516422,0.6228464737333447,0.42386546878599396,0.5694562446898895,0.5611297649614853
0.08,0.6878978188916235,0.6645591105830434,0.6345582619027412,0.410987426924001,0.5704037824031303,0.5636400486420754
0.09,0.6928201646439787,0.6715607230756174,0.6439786132563863,0.3995022812111157,0.5696652952296231,0.5643821391484943
0.1,0.6974454722905882,0.6768225409488245,0.6515743019604515,0.3892410484838102,0.5686940763393362,0.5646572292031176
0.11,0.6996096070610202,0.6811508104896885,0.658448612407706,0.37448086948838033,0.5669164265129684,0.5644716195011092
0.12,0.7010523635746414,0.6845879657133158,0.6641772044470848,0.36041761234679975,0.5646342177707492,0.5643989431968296
0.13,0.7019434778918782,0.6868794025290673,0.6685903420181618,0.34587446451853227,0.561530691068988,0.5630524784603335
0.14,0.7028345922091148,0.6889586692692863,0.6728761775439192,0.3353895795767296,0.5585401108166707,0.5626099290780142
0.15,0.7028770262242213,0.6909530679792922,0.676355766782653,0.32151162790697674,0.5554538240859428,0.5606819883647255
0.16,0.703683272511245,0.690443859798014,0.6777985232962743,0.310320987654321,0.5490511219632811,0.5559908777264487
0.17,0.7030891962997539,0.6922260884324875,0.6807689043537299,0.2974194196204438,0.5462053431771258,0.5542454227647093
0.18,0.7039378766018841,0.6929899007044047,0.6827208690486294,0.28740680216525377,0.5425229212772683,0.5511735398283211
0.19,0.703683272511245,0.6941356191122804,0.6846303997284223,0.27614802529283716,0.5391304347826088,0.5483165187796282
0.2,0.7035135364508189,0.6957481116863278,0.6871764406348129,0.26630263572403656,0.5365822130299897,0.5465616927051298
