threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.52,128,204,847,1598,929,1726,0.025236593059936908,0.04022082018927445,0.16699526813880125,0.3150630914826498,0.18316246056782334,0.34029968454258674
0.53,123,194,837,1577,915,1701,0.02425078864353312,0.038249211356466875,0.1650236593059937,0.31092271293375395,0.18040220820189273,0.33537066246056785
0.54,120,192,827,1561,904,1685,0.02365930599369085,0.03785488958990536,0.16305205047318613,0.3077681388012618,0.17823343848580442,0.3322160883280757
0.55,117,185,813,1531,889,1652,0.02306782334384858,0.036474763406940065,0.16029179810725552,0.3018533123028391,0.17527602523659305,0.3257097791798107
0.56,116,183,813,1517,889,1637,0.022870662460567823,0.03608044164037855,0.16029179810725552,0.2990930599369085,0.17527602523659305,0.32275236593059936
0.5700000000000001,114,179,804,1496,879,1616,0.022476340694006308,0.03529179810725552,0.15851735015772872,0.2949526813880126,0.1733044164037855,0.3186119873817035
0.58,110,172,798,1475,872,1596,0.02168769716088328,0.03391167192429022,0.15733438485804416,0.29081230283911674,0.1719242902208202,0.3146687697160883
0.59,110,164,786,1460,862,1576,0.02168769716088328,0.032334384858044164,0.1549684542586751,0.28785488958990535,0.16995268138801262,0.3107255520504732
0.6,110,160,778,1442,855,1557,0.02168769716088328,0.031545741324921134,0.153391167192429,0.28430599369085174,0.16857255520504733,0.3069794952681388
0.61,108,152,766,1424,842,1535,0.021293375394321766,0.02996845425867508,0.15102523659305994,0.2807570977917981,0.16600946372239747,0.30264195583596215
0.62,107,144,762,1405,838,1510,0.02109621451104101,0.028391167192429023,0.15023659305993692,0.2770110410094637,0.16522082018927445,0.2977129337539432
0.63,104,139,746,1383,820,1484,0.02050473186119874,0.027405362776025236,0.1470820189274448,0.2726735015772871,0.16167192429022081,0.29258675078864355
0.64,100,136,739,1358,810,1457,0.01971608832807571,0.026813880126182965,0.1457018927444795,0.26774447949526814,0.15970031545741326,0.2872634069400631
0.65,98,132,730,1342,800,1437,0.019321766561514197,0.026025236593059938,0.14392744479495267,0.26458990536277605,0.15772870662460567,0.28332018927444796
0.66,96,129,723,1320,791,1413,0.01892744479495268,0.025433753943217667,0.14254731861198738,0.26025236593059936,0.15595425867507887,0.27858832807570977
