threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.43,164,737,937,4554,1031,4637,0.032334384858044164,0.145307570977918,0.1847397476340694,0.8978706624605678,0.20327287066246058,0.9142350157728707
0.44,156,710,923,4545,1013,4628,0.030757097791798107,0.13998422712933753,0.1819794952681388,0.896096214511041,0.19972397476340695,0.9124605678233438
0.45,151,677,915,4541,1004,4625,0.02977129337539432,0.13347791798107256,0.18040220820189273,0.895307570977918,0.19794952681388012,0.9118690851735016
0.46,148,649,906,4537,995,4619,0.02917981072555205,0.12795741324921137,0.17862776025236593,0.894518927444795,0.19617507886435331,0.910686119873817
0.47000000000000003,145,629,897,4524,985,4609,0.02858832807570978,0.12401419558359622,0.17685331230283913,0.8919558359621451,0.19420347003154576,0.9087145110410094
0.48,143,606,881,4517,969,4602,0.028194006309148267,0.11947949526813881,0.173698738170347,0.8905757097791798,0.19104889589905363,0.9073343848580442
0.49,136,583,868,4510,952,4594,0.026813880126182965,0.11494479495268138,0.17113564668769715,0.8891955835962145,0.18769716088328076,0.9057570977917981
0.5,131,560,863,4503,945,4586,0.02582807570977918,0.11041009463722397,0.17014984227129337,0.8878154574132492,0.18631703470031546,0.9041798107255521
0.51,130,540,855,4497,937,4581,0.025630914826498423,0.10646687697160884,0.16857255520504733,0.8866324921135647,0.1847397476340694,0.9031940063091483
0.52,128,522,847,4490,929,4571,0.025236593059936908,0.1029179810725552,0.16699526813880125,0.8852523659305994,0.18316246056782334,0.9012223974763407
0.53,123,504,837,4480,915,4562,0.02425078864353312,0.09936908517350158,0.1650236593059937,0.8832807570977917,0.18040220820189273,0.8994479495268138
0.54,120,479,827,4473,904,4553,0.02365930599369085,0.09444006309148265,0.16305205047318613,0.8819006309148265,0.17823343848580442,0.8976735015772871
0.55,117,459,813,4468,889,4547,0.02306782334384858,0.09049684542586751,0.16029179810725552,0.8809148264984227,0.17527602523659305,0.8964905362776026
0.56,116,444,813,4460,889,4542,0.022870662460567823,0.08753943217665615,0.16029179810725552,0.8793375394321766,0.17527602523659305,0.8955047318611987
0.5700000000000001,114,424,804,4449,879,4533,0.022476340694006308,0.083596214511041,0.15851735015772872,0.8771687697160884,0.1733044164037855,0.893730283911672
0.58,110,409,798,4440,872,4528,0.02168769716088328,0.08063880126182965,0.15733438485804416,0.8753943217665615,0.1719242902208202,0.8927444794952681
0.59,110,388,786,4430,862,4520,0.02168769716088328,0.07649842271293375,0.1549684542586751,0.873422712933754,0.16995268138801262,0.8911671924290221
0.6,110,370,778,4426,855,4514,0.02168769716088328,0.07294952681388013,0.153391167192429,0.8726340694006309,0.16857255520504733,0.8899842271293376
0.61,108,352,766,4423,842,4509,0.021293375394321766,0.0694006309148265,0.15102523659305994,0.8720425867507886,0.16600946372239747,0.8889984227129337
0.62,107,339,762,4416,838,4501,0.02109621451104101,0.06683753943217666,0.15023659305993692,0.8706624605678234,0.16522082018927445,0.8874211356466877
0.63,104,322,746,4409,820,4491,0.02050473186119874,0.06348580441640378,0.1470820189274448,0.869282334384858,0.16167192429022081,0.8854495268138801
0.64,100,308,739,4399,810,4480,0.01971608832807571,0.06072555205047318,0.1457018927444795,0.8673107255520505,0.15970031545741326,0.8832807570977917
0.65,98,304,730,4390,800,4472,0.019321766561514197,0.05993690851735016,0.14392744479495267,0.8655362776025236,0.15772870662460567,0.8817034700315457
0.66,96,289,723,4383,791,4468,0.01892744479495268,0.0569794952681388,0.14254731861198738,0.8641561514195584,0.15595425867507887,0.8809148264984227
0.67,95,278,715,4375,782,4461,0.018730283911671926,0.05481072555205047,0.14097003154574134,0.8625788643533123,0.15417981072555206,0.8795347003154574
0.68,92,270,712,4366,778,4452,0.018138801261829655,0.05323343848580442,0.14037854889589904,0.8608044164037855,0.153391167192429,0.8777602523659306
0.6900000000000001,91,264,707,4355,772,4443,0.017941640378548895,0.052050473186119876,0.13939274447949526,0.8586356466876972,0.15220820189274448,0.8759858044164038
0.7000000000000001,89,255,701,4348,766,4439,0.01754731861198738,0.05027602523659306,0.13820977917981073,0.8572555205047319,0.15102523659305994,0.8751971608832808
0.71,87,247,691,4343,756,4435,0.01715299684542587,0.048698738170347006,0.13623817034700317,0.856269716088328,0.14905362776025236,0.8744085173501577
0.72,85,233,682,4334,747,4424,0.016758675078864353,0.0459384858044164,0.13446372239747634,0.8544952681388013,0.14727917981072555,0.8722397476340694
0.73,82,227,676,4331,740,4420,0.016167192429022082,0.04475552050473186,0.1332807570977918,0.853903785488959,0.14589905362776026,0.8714511041009464
0.74,80,221,667,4325,729,4414,0.015772870662460567,0.04357255520504732,0.13150630914826497,0.8527208201892744,0.14373028391167192,0.8702681388012619
0.75,78,212,661,4314,721,4406,0.015378548895899053,0.0417981072555205,0.13032334384858044,0.8505520504731862,0.14215299684542587,0.8686908517350158
0.76,76,208,652,4304,711,4399,0.01498422712933754,0.04100946372239748,0.12854889589905363,0.8485804416403786,0.14018138801261829,0.8673107255520505
