threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.31,235,0,1084,111,1196,111,0.04633280757097792,0.0,0.2137223974763407,0.021884858044164037,0.2358044164037855,0.021884858044164037
0.32,228,0,1070,110,1180,110,0.044952681388012616,0.0,0.2109621451104101,0.02168769716088328,0.23264984227129337,0.02168769716088328
0.33,220,0,1061,110,1167,110,0.04337539432176656,0.0,0.20918769716088328,0.02168769716088328,0.23008675078864355,0.02168769716088328
0.34,210,0,1046,107,1151,107,0.04140378548895899,0.0,0.20623028391167192,0.02109621451104101,0.22693217665615142,0.02109621451104101
0.35000000000000003,204,0,1035,106,1137,106,0.04022082018927445,0.0,0.2040615141955836,0.02089905362776025,0.22417192429022081,0.02089905362776025
0.36,197,0,1024,106,1125,106,0.03884069400630915,0.0,0.20189274447949526,0.02089905362776025,0.22180599369085174,0.02089905362776025
0.37,193,0,1013,104,1113,104,0.03805205047318612,0.0,0.19972397476340695,0.02050473186119874,0.21944006309148265,0.02050473186119874
0.38,188,0,1004,104,1103,104,0.03706624605678233,0.0,0.19794952681388012,0.02050473186119874,0.2174684542586751,0.02050473186119874
0.39,181,0,996,102,1092,102,0.035686119873817035,0.0,0.19637223974763407,0.020110410094637224,0.21529968454258674,0.020110410094637224
0.4,177,0,981,100,1076,100,0.034897476340694004,0.0,0.1934148264984227,0.01971608832807571,0.21214511041009465,0.01971608832807571
0.41000000000000003,176,0,968,99,1062,99,0.03470031545741325,0.0,0.19085173501577288,0.019518927444794953,0.20938485804416404,0.019518927444794953
0.42,171,0,954,98,1048,98,0.03371451104100946,0.0,0.18809148264984227,0.019321766561514197,0.20662460567823343,0.019321766561514197
0.43,164,0,937,98,1031,98,0.032334384858044164,0.0,0.1847397476340694,0.019321766561514197,0.20327287066246058,0.019321766561514197
0.44,156,0,923,97,1013,97,0.030757097791798107,0.0,0.1819794952681388,0.019124605678233438,0.19972397476340695,0.019124605678233438
0.45,151,0,915,97,1004,97,0.02977129337539432,0.0,0.18040220820189273,0.019124605678233438,0.19794952681388012,0.019124605678233438
0.46,148,0,906,95,995,95,0.02917981072555205,0.0,0.17862776025236593,0.018730283911671926,0.19617507886435331,0.018730283911671926
0.47000000000000003,145,0,897,95,985,95,0.02858832807570978,0.0,0.17685331230283913,0.018730283911671926,0.19420347003154576,0.018730283911671926
0.48,143,0,881,94,969,94,0.028194006309148267,0.0,0.173698738170347,0.018533123028391166,0.19104889589905363,0.018533123028391166
0.49,136,0,868,93,952,93,0.026813880126182965,0.0,0.17113564668769715,0.01833596214511041,0.18769716088328076,0.01833596214511041
0.5,131,0,863,93,945,93,0.02582807570977918,0.0,0.17014984227129337,0.01833596214511041,0.18631703470031546,0.01833596214511041
0.51,130,0,855,92,937,92,0.025630914826498423,0.0,0.16857255520504733,0.018138801261829655,0.1847397476340694,0.018138801261829655
0.52,128,0,847,92,929,92,0.025236593059936908,0.0,0.16699526813880125,0.018138801261829655,0.18316246056782334,0.018138801261829655
0.53,123,0,837,90,915,90,0.02425078864353312,0.0,0.1650236593059937,0.01774447949526814,0.18040220820189273,0.01774447949526814
0.54,120,0,827,90,904,90,0.02365930599369085,0.0,0.16305205047318613,0.01774447949526814,0.17823343848580442,0.01774447949526814
0.55,117,0,813,90,889,90,0.02306782334384858,0.0,0.16029179810725552,0.01774447949526814,0.17527602523659305,0.01774447949526814
0.56,116,0,813,90,889,90,0.022870662460567823,0.0,0.16029179810725552,0.01774447949526814,0.17527602523659305,0.01774447949526814
0.5700000000000001,114,0,804,90,879,90,0.022476340694006308,0.0,0.15851735015772872,0.01774447949526814,0.1733044164037855,0.01774447949526814
0.58,110,0,798,90,872,90,0.02168769716088328,0.0,0.15733438485804416,0.01774447949526814,0.1719242902208202,0.01774447949526814
0.59,110,0,786,90,862,90,0.02168769716088328,0.0,0.1549684542586751,0.01774447949526814,0.16995268138801262,0.01774447949526814
0.6,110,0,778,90,855,90,0.02168769716088328,0.0,0.153391167192429,0.01774447949526814,0.16857255520504733,0.01774447949526814
0.61,108,0,766,89,842,89,0.021293375394321766,0.0,0.15102523659305994,0.01754731861198738,0.16600946372239747,0.01754731861198738
0.62,107,0,762,89,838,89,0.02109621451104101,0.0,0.15023659305993692,0.01754731861198738,0.16522082018927445,0.01754731861198738
0.63,104,0,746,88,820,88,0.02050473186119874,0.0,0.1470820189274448,0.017350157728706624,0.16167192429022081,0.017350157728706624
0.64,100,0,739,88,810,88,0.01971608832807571,0.0,0.1457018927444795,0.017350157728706624,0.15970031545741326,0.017350157728706624
0.65,98,0,730,88,800,88,0.019321766561514197,0.0,0.14392744479495267,0.017350157728706624,0.15772870662460567,0.017350157728706624
0.66,96,0,723,87,791,87,0.01892744479495268,0.0,0.14254731861198738,0.01715299684542587,0.15595425867507887,0.01715299684542587
0.67,95,0,715,86,782,86,0.018730283911671926,0.0,0.14097003154574134,0.01695583596214511,0.15417981072555206,0.01695583596214511
0.68,92,0,712,86,778,86,0.018138801261829655,0.0,0.14037854889589904,0.01695583596214511,0.153391167192429,0.01695583596214511
0.6900000000000001,91,0,707,86,772,86,0.017941640378548895,0.0,0.13939274447949526,0.01695583596214511,0.15220820189274448,0.01695583596214511
0.7000000000000001,89,0,701,86,766,86,0.01754731861198738,0.0,0.13820977917981073,0.01695583596214511,0.15102523659305994,0.01695583596214511
0.71,87,0,691,86,756,86,0.01715299684542587,0.0,0.13623817034700317,0.01695583596214511,0.14905362776025236,0.01695583596214511
0.72,85,0,682,86,747,86,0.016758675078864353,0.0,0.13446372239747634,0.01695583596214511,0.14727917981072555,0.01695583596214511
0.73,82,0,676,86,740,86,0.016167192429022082,0.0,0.1332807570977918,0.01695583596214511,0.14589905362776026,0.01695583596214511
0.74,80,0,667,86,729,86,0.015772870662460567,0.0,0.13150630914826497,0.01695583596214511,0.14373028391167192,0.01695583596214511
0.75,78,0,661,86,721,86,0.015378548895899053,0.0,0.13032334384858044,0.01695583596214511,0.14215299684542587,0.01695583596214511
0.76,76,0,652,86,711,86,0.01498422712933754,0.0,0.12854889589905363,0.01695583596214511,0.14018138801261829,0.01695583596214511
0.77,75,0,644,86,703,86,0.014787066246056782,0.0,0.12697160883280756,0.01695583596214511,0.13860410094637224,0.01695583596214511
0.78,73,0,636,85,694,85,0.014392744479495269,0.0,0.1253943217665615,0.016758675078864353,0.13682965299684544,0.016758675078864353
