,Threshold,Total,orig_image_detected,pertubed_image_detected,False Positive,Detection Rate
0.01,0.01,119.0,74.0,58.0,0.6218487394957983,0.48739495798319327
0.5,0.5,119.0,7.0,3.0,0.058823529411764705,0.025210084033613446
1.0,1.0,119.0,1.0,0.0,0.008403361344537815,0.0
1.5,1.5,119.0,0.0,0.0,0.0,0.0
1.99,1.99,119.0,0.0,0.0,0.0,0.0
