threshold,accuracy_bit,accuracy_blur,accuracy_both,FP_bit,FP_blur,FP_both
0.0,0.29598099386260146,0.29657493565630566,0.2963769550584043,0.9988745075970737,0.9985931344963421,0.9988745075970737
0.05,0.7107503464660463,0.6527420312809344,0.6125519699069492,0.26533483398987057,0.4335959482273495,0.5219471018570625
0.1,0.7440110869134825,0.6897644030884973,0.6792714313997228,0.1477208778840743,0.3421496904895892,0.3992684299380979
0.15000000000000002,0.7556919421896654,0.7020392001583845,0.7087705404870323,0.09735509285312324,0.29290939786156445,0.33258300506471583
0.2,0.755493961591764,0.7042169867353,0.7204513957632152,0.07287563308947664,0.259144625773776,0.2920652785593697
0.25,0.7537121362106514,0.7044149673332013,0.7236190853296377,0.055993247045582444,0.2386043894203714,0.26617895329206526
0.30000000000000004,0.7519303108295387,0.7052068897248069,0.7257968719065532,0.04558244231851435,0.21722003376477209,0.2425436128306134
0.35000000000000003,0.7469807958820036,0.7050089091269056,0.7267867748960601,0.03967360720315138,0.20455824423185143,0.22706809229037703
0.4,0.7422292615323698,0.7085725598891308,0.7285686002771729,0.03432751828925155,0.1859876195835678,0.2076533483398987
0.45,0.7392595525638488,0.7111463076618492,0.7323302316372996,0.029544175576814855,0.17079347214406304,0.1899268429938098
0.5,0.7380716689764403,0.7089685210849337,0.7319342704414967,0.025323579065841307,0.16122678671918964,0.17726505346088914
0.55,0.7360918629974262,0.7069887151059197,0.7285686002771729,0.022228474957794037,0.15531795160382666,0.16994935284186832
0.6000000000000001,0.7327261928331024,0.7040190061373985,0.7259948525044546,0.020540236353404615,0.14715813168261113,0.16038266741699495
0.65,0.7307463868540883,0.7028311225499901,0.7242130271233419,0.018851997749015192,0.13984243106359032,0.15250422059651098
0.7000000000000001,0.7295585032666798,0.7032270837457929,0.7240150465254405,0.016038266741699492,0.1325267304445695,0.14321890827236916
0.75,0.7267867748960601,0.7000593941793705,0.7182736091862998,0.013224535734383792,0.12661789532920653,0.13702870005627463
0.8,0.7246089883191448,0.6990694911898634,0.7156998614135814,0.012099043331457513,0.1212718064153067,0.13111986494091166
0.8500000000000001,0.7232231241338349,0.697881607602455,0.7137200554345674,0.010129431626336522,0.11536297129994373,0.12352279122115925
0.9,0.7216392793506237,0.6990694911898634,0.7137200554345674,0.009285312324141813,0.10832864378165448,0.11620709060213844
0.9500000000000001,0.720847356959018,0.6992674717877648,0.7133240942387646,0.008441193021947102,0.10185706246482837,0.10889138998311762
1.0,0.7194614927737082,0.6980795882003563,0.7107503464660463,0.007034327518289252,0.0976364659538548,0.10326392796848621
1.05,0.7182736091862998,0.6992674717877648,0.7109483270639477,0.006471581316826111,0.0911648846370287,0.09622960045019696
1.1,0.7158978420114829,0.6972876658087508,0.7069887151059197,0.005908835115362971,0.08750703432751829,0.09200900393922341
1.1500000000000001,0.7143139972282716,0.695901801623441,0.7048109285290042,0.005346088913899831,0.08413055711873944,0.08806978052898143
1.2000000000000002,0.7137200554345674,0.6966937240150465,0.7050089091269056,0.004501969611705121,0.07737760270118177,0.08103545301069218
1.25,0.7121362106513561,0.697881607602455,0.7046129479311027,0.004220596510973551,0.07118739448508722,0.07456387169386607
1.3,0.7113442882597505,0.6972876658087508,0.7032270837457929,0.0039392234102419805,0.06696679797411367,0.07006190208216094
1.35,0.7109483270639477,0.6951098792318353,0.7012472777667789,0.0030951041080472708,0.06274620146314012,0.06499718626899269
1.4000000000000001,0.7089685210849337,0.6947139180360324,0.6992674717877648,0.0028137310073157004,0.05908835115362971,0.0610579628587507
1.4500000000000002,0.7085725598891308,0.6970896852108494,0.7016432389625816,0.0016882386043894203,0.050928531232414184,0.05205402363534046
1.5,0.7077806374975253,0.6953078598297366,0.6990694911898634,0.0016882386043894203,0.04811480022509848,0.04924029262802476
1.55,0.7073846763017224,0.6951098792318353,0.6984755493961592,0.0016882386043894203,0.04164321890827237,0.04276871131119865
1.6,0.7063947733122155,0.6937240150465255,0.6962977628192437,0.0016882386043894203,0.038266741699493526,0.03939223410241981
1.6500000000000001,0.706196792714314,0.6933280538507226,0.6957038210255395,0.0016882386043894203,0.03376477208778841,0.03489026449071469
1.7000000000000002,0.7056028509206098,0.695901801623441,0.6976836270045536,0.0014068655036578502,0.026449071468767585,0.027574563871693866
1.75,0.7052068897248069,0.6966937240150465,0.6984755493961592,0.0008441193021947102,0.021102982554867755,0.021665728756330896
1.8,0.7048109285290042,0.6968917046129479,0.6982775687982578,0.0008441193021947102,0.018007878446820485,0.018570624648283626
1.85,0.7042169867353,0.6980795882003563,0.6986735299940606,0.0005627462014631402,0.012099043331457513,0.012661789532920653
1.9000000000000001,0.7034250643436943,0.7020392001583845,0.7018412195604831,0.0005627462014631402,0.0039392234102419805,0.004501969611705121
1.9500000000000002,0.7036230449415958,0.7032270837457929,0.7032270837457929,0.0,0.0005627462014631402,0.0005627462014631402
2.0,0.7036230449415958,0.7036230449415958,0.7036230449415958,0.0,0.0,0.0
