threshold,accuracy_bit,accuracy_blur,accuracy_both
0.0,0.28291427440110867,0.2910314789150663,0.29122945951296775
0.01,0.44605028707186695,0.46683824985151456,0.37319342704414965
0.02,0.5416749158582459,0.5468224114036825,0.4571372005543457
0.03,0.5977034250643437,0.5947337160958226,0.5220748366660067
0.04,0.630568204315977,0.6161156206691745,0.5555335577113443
0.05,0.6523460700851317,0.6317560879033854,0.5826568996238368
0.06,0.66620471193823,0.6456147297564838,0.602256978816076
0.07,0.6763017224312018,0.6537319342704415,0.6171055236586814
0.08,0.6820431597703425,0.6618491387843991,0.6275984953474559
0.09,0.6873886359136805,0.6654127895466244,0.6363096416551178
0.1,0.6913482478717086,0.6669966343298357,0.6416551177984557
0.11,0.6943179568402297,0.6721441298752723,0.6479904969313007
0.12,0.6984755493961592,0.6757077806374975,0.655909720847357
0.13,0.7002573747772718,0.6770936448228073,0.6598693328053851
0.14,0.7022371807562859,0.6794694119976242,0.6640269253613146
0.15,0.7036230449415958,0.6802613343892299,0.6667986537319343
0.16,0.7040190061373985,0.6814492179766383,0.6695703821025539
0.17,0.7036230449415958,0.6828350821619481,0.6729360522668778
0.18,0.7040190061373985,0.6836270045535537,0.6745198970500891
0.19,0.7038210255394971,0.685210849336765,0.6763017224312018
0.2,0.7042169867353,0.6875866165115818,0.6784795090081172
0.21,0.7046129479311027,0.689566422490596,0.6808552761829341
0.22,0.7050089091269056,0.6907543060780044,0.6826371015640468
0.23,0.706196792714314,0.6879825777073847,0.6816471985745397
0.24,0.7067907345080182,0.6875866165115818,0.6816471985745397
0.25,0.7059988121164126,0.6875866165115818,0.6812512373787368
0.26,0.7052068897248069,0.6885765195010889,0.6828350821619481
0.27,0.7058008315185111,0.6911502672738071,0.6846169075430608
0.28,0.7058008315185111,0.6911502672738071,0.685210849336765
0.29,0.7059988121164126,0.6911502672738071,0.685210849336765
0.3,0.706196792714314,0.6905563254801029,0.6854088299346665
0.31,0.7054048703227084,0.6899623836863987,0.6844189269451594
0.32,0.7056028509206098,0.6897644030884973,0.6848148881409621
0.33,0.7069887151059197,0.6879825777073847,0.6848148881409621
0.34,0.706196792714314,0.6881805583052861,0.6844189269451594
0.35000000000000003,0.7042169867353,0.6877845971094833,0.6836270045535537
0.36,0.7044149673332013,0.6891704612947931,0.685210849336765
0.37,0.7046129479311027,0.689566422490596,0.6858047911304692
0.38,0.7048109285290042,0.689566422490596,0.6860027717283707
0.39,0.7040190061373985,0.6905563254801029,0.6863987329241734
0.4,0.7042169867353,0.6907543060780044,0.6867946941199763
0.41000000000000003,0.7038210255394971,0.6919421896654128,0.6875866165115818
0.42,0.7036230449415958,0.69154622846961,0.687190655315779
0.43,0.7036230449415958,0.69154622846961,0.6873886359136805
0.44,0.7036230449415958,0.6927341120570184,0.6887745000989903
0.45,0.7032270837457929,0.692536131459117,0.6891704612947931
0.46,0.7034250643436943,0.6923381508612156,0.6893684418926945
0.47000000000000003,0.7024351613541873,0.6923381508612156,0.6887745000989903
0.48,0.7024351613541873,0.692536131459117,0.6893684418926945
0.49,0.7028311225499901,0.6917442090675113,0.6891704612947931
