threshold,accuracy_bit,accuracy_blur,accuracy_both
0.0,0.2961789744605029,0.29657493565630566,0.2963769550584043
0.05,0.7632152049099188,0.6810532567808355,0.6272025341516532
0.1,0.8137002573747772,0.7390615719659474,0.7113442882597505
0.15000000000000002,0.8327063947733122,0.7695505840427638,0.7560879033854683
0.2,0.8342902395565235,0.7879627796475945,0.7822213423084537
0.25,0.8309245693921996,0.7978618095426648,0.7976638289447634
0.30000000000000004,0.8241932290635517,0.8089487230251435,0.811126509602059
0.35000000000000003,0.8162740051474956,0.8138982379726787,0.8192437141160166
0.4,0.8087507424272421,0.8234013066719461,0.8291427440110869
0.45,0.8032072856860027,0.8313205305880024,0.8392397545040586
0.5,0.7972678677489606,0.8344882201544249,0.8443872500494951
0.55,0.7889526826371016,0.8362700455355375,0.8459710948327064
0.6000000000000001,0.7820233617105523,0.8392397545040586,0.8493367649970303
0.65,0.773510196000792,0.8424074440704811,0.8525044545634528
0.7000000000000001,0.7683627004553554,0.8433973470599881,0.8546822411403683
0.75,0.760839437735102,0.8431993664620867,0.8544842605424668
0.8,0.7537121362106514,0.8420114828746783,0.8546822411403683
0.8500000000000001,0.750148485448426,0.8426054246683825,0.8562660859235794
0.9,0.7451989705008909,0.8441892694515938,0.8570580083151851
0.9500000000000001,0.7410413779449614,0.8445852306473965,0.8586418530983964
