threshold,accuracy_bit,accuracy_blur,accuracy_both,FP_bit,FP_blur,FP_both
0.0,0.2951890714709958,0.2963769550584043,0.2961789744605029,0.9988745075970737,0.9985931344963421,0.9988745075970737
0.05,0.7032270837457929,0.6723421104731736,0.6198772520293011,0.26533483398987057,0.4335959482273495,0.5219471018570625
0.1,0.7436151257176796,0.7192635121758068,0.6937240150465255,0.1477208778840743,0.3421496904895892,0.3992684299380979
0.15000000000000002,0.754504058602257,0.7394575331617501,0.7287665808750743,0.09735509285312324,0.29290939786156445,0.33258300506471583
0.2,0.7572757869728767,0.7537121362106514,0.7483666600673134,0.07287563308947664,0.259144625773776,0.2920652785593697
0.25,0.7582656899623836,0.7574737675707781,0.7584636705602851,0.055993247045582444,0.2386043894203714,0.26617895329206526
0.30000000000000004,0.756483864581271,0.7636111661057217,0.7673727974658483,0.04558244231851435,0.21722003376477209,0.2425436128306134
0.35000000000000003,0.7497525242526233,0.7651950108889329,0.7697485646406652,0.03967360720315138,0.20455824423185143,0.22706809229037703
0.4,0.7477727182736091,0.7695505840427638,0.7762819243714116,0.03432751828925155,0.1859876195835678,0.2076533483398987
0.45,0.7463868540882993,0.7727182736091863,0.7824193229063552,0.029544175576814855,0.17079347214406304,0.1899268429938098
0.5,0.7450009899029895,0.7713324094238765,0.782815284102158,0.025323579065841307,0.16122678671918964,0.17726505346088914
0.55,0.7422292615323698,0.7673727974658483,0.7792516333399326,0.022228474957794037,0.15531795160382666,0.16994935284186832
0.6000000000000001,0.7382696495743417,0.7667788556721441,0.7790536527420313,0.020540236353404615,0.14715813168261113,0.16038266741699495
0.65,0.7352999406058206,0.7630172243120175,0.7752920213819046,0.018851997749015192,0.13984243106359032,0.15250422059651098
0.7000000000000001,0.7329241734310038,0.7614333795288062,0.7741041377944962,0.016038266741699492,0.1325267304445695,0.14321890827236916
0.75,0.7319342704414967,0.7596515541476935,0.7725202930112849,0.013224535734383792,0.12661789532920653,0.13702870005627463
0.8,0.72817263908137,0.7568798257770738,0.7695505840427638,0.012099043331457513,0.1212718064153067,0.13111986494091166
0.8500000000000001,0.7261928331023559,0.7556919421896654,0.7687586616511581,0.010129431626336522,0.11536297129994373,0.12352279122115925
0.9,0.7246089883191448,0.755493961591764,0.7677687586616512,0.009285312324141813,0.10832864378165448,0.11620709060213844
0.9500000000000001,0.7236190853296377,0.7531181944169472,0.7657889526826371,0.008441193021947102,0.10185706246482837,0.10889138998311762
1.0,0.720847356959018,0.7503464660463275,0.7616313601267076,0.007034327518289252,0.0976364659538548,0.10326392796848621
1.05,0.7180756285883984,0.748168679469412,0.7574737675707781,0.006471581316826111,0.0911648846370287,0.09622960045019696
1.1,0.7164917838051871,0.7453969510987923,0.7537121362106514,0.005908835115362971,0.08750703432751829,0.09200900393922341
1.1500000000000001,0.7156998614135814,0.7384676301722432,0.7467828152841022,0.005346088913899831,0.08413055711873944,0.08806978052898143
1.2000000000000002,0.7137200554345674,0.7382696495743417,0.7448030093050881,0.004501969611705121,0.07737760270118177,0.08103545301069218
1.25,0.7115422688576519,0.7364878241932291,0.7414373391407642,0.004220596510973551,0.07118739448508722,0.07456387169386607
1.3,0.7091665016828351,0.734508018214215,0.7376757077806375,0.0039392234102419805,0.06696679797411367,0.07006190208216094
1.35,0.7085725598891308,0.7307463868540883,0.7339140764205108,0.0030951041080472708,0.06274620146314012,0.06499718626899269
1.4000000000000001,0.7073846763017224,0.72817263908137,0.7305484062561869,0.0028137310073157004,0.05908835115362971,0.0610579628587507
1.4500000000000002,0.7069887151059197,0.7285686002771729,0.7309443674519897,0.0016882386043894203,0.050928531232414184,0.05205402363534046
1.5,0.7059988121164126,0.7242130271233419,0.7261928331023559,0.0016882386043894203,0.04811480022509848,0.04924029262802476
1.55,0.7054048703227084,0.7244110077212433,0.7259948525044546,0.0016882386043894203,0.04164321890827237,0.04276871131119865
1.6,0.7050089091269056,0.7204513957632152,0.721837259948525,0.0016882386043894203,0.038266741699493526,0.03939223410241981
1.6500000000000001,0.7040190061373985,0.7176796673925955,0.7182736091862998,0.0016882386043894203,0.03376477208778841,0.03489026449071469
1.7000000000000002,0.7040190061373985,0.7139180360324688,0.7143139972282716,0.0014068655036578502,0.026449071468767585,0.027574563871693866
1.75,0.7040190061373985,0.7097604434765393,0.7101564046723421,0.0008441193021947102,0.021102982554867755,0.021665728756330896
1.8,0.7034250643436943,0.7044149673332013,0.7044149673332013,0.0008441193021947102,0.018007878446820485,0.018570624648283626
1.85,0.7036230449415958,0.7028311225499901,0.7028311225499901,0.0005627462014631402,0.012099043331457513,0.012661789532920653
1.9000000000000001,0.7032270837457929,0.7044149673332013,0.7040190061373985,0.0005627462014631402,0.0039392234102419805,0.004501969611705121
1.9500000000000002,0.7036230449415958,0.7034250643436943,0.7034250643436943,0.0,0.0005627462014631402,0.0005627462014631402
2.0,0.7036230449415958,0.7036230449415958,0.7036230449415958,0.0,0.0,0.0
